,count,word
2028,8,willing
764,8,person.
1051,8,paranoia
470,8,student.
473,8,fear.
1055,8,ok.
2033,8,sex
2036,8,husband
1117,8,"happened,"
500,8,relationship.
534,8,poor
66,8,frustrated
1087,8,required
3172,8,top
584,8,amount
2338,8,"guilt,"
355,8,thoughts
628,8,insecure
2132,8,respected
630,8,interest
1245,8,days.
419,8,"incident,"
1438,8,simply
1230,8,gone
3330,8,treatment
3129,8,peers
2115,8,money
946,8,looking
1208,8,complete
3124,8,medication
401,8,nightmares
1001,8,men.
1007,8,traumatic
648,8,process
3521,8,received
1498,8,particular
1248,8,blow
1531,7,conversations
782,7,investigation
1522,7,higher
1851,7,four
1684,7,complaint
770,7,comment
1494,7,office.
4459,7,destroyed
3766,7,stomach
1671,7,iâ€™ve
1499,7,relatively
778,7,attempted
1824,7,effect
805,7,anything.
3215,7,break
3341,7,pissed
1433,7,faith
2019,7,issue
992,7,highly
1594,7,prior
1193,7,betrayed
1191,7,"uncomfortable,"
1188,7,certain
2103,7,broke
1598,7,source
1037,7,somewhat
2095,7,humiliated
4048,7,single
1151,7,"institution,"
1042,7,socially
1045,7,coming
3692,7,opportunities
1132,7,above.
2030,7,reputation
1606,7,compounded
2059,7,"job,"
3657,7,former
3137,7,mad
1401,7,call
1354,7,presence
3915,7,believed
1888,7,frustration
1377,7,bad.
1896,7,paper
879,7,"but,"
2175,7,loved
884,7,boyfriend
1540,7,energy
1904,7,syndrome.
1306,7,quit
3956,7,car
914,7,institutional
1333,7,workplace
1915,7,shocked
929,7,level
2150,7,"relationship,"
2149,7,positive
1767,7,6
1975,7,affect
1678,7,matter
195,7,exacerbated
511,7,mistrust
2905,7,attempt
216,7,"depressed,"
732,7,seen
2912,7,cpa
2566,7,increase
2747,7,gotten
153,7,interaction
2291,7,flashbacks
2427,7,weeks
254,7,had.
391,7,frequently
356,7,suicide.
702,7,losing
627,7,"while,"
2830,7,wondered
444,7,takes
2996,7,along
633,7,disgust
2558,7,entirely
714,7,severe.
2387,7,with.
2997,7,instances
2247,7,must
75,7,track
738,7,teacher
2672,7,attending
274,7,heavy
365,7,crazy
2354,7,leaving
2626,7,continues
10,7,academy.
2404,7,weeks.
453,7,disgusted
20,7,mainly
2892,7,prevent
2856,7,insecurity
2784,7,harass
2594,7,means
184,7,marriage
599,7,forward
1878,6,figure
2023,6,"on,"
2166,6,damaging
4719,6,failure
2017,6,friends.
683,6,psychological
1762,6,"career,"
1755,6,situations
3724,6,mild
943,6,guard
944,6,institutions
3520,6,spoke
2565,6,"sleep,"
909,6,likely
2944,6,staff
930,6,belief
2627,6,mind.
915,6,instead
922,6,regularly
908,6,mind
1399,6,"frustration,"
666,6,basically
1563,6,clear
3514,6,periods
3117,6,show
2721,6,experience.
455,6,shook
1140,6,events.
3908,6,decade
1869,6,problem.
462,6,professor.
1393,6,"like,"
2943,6,permanent
969,6,perpetrator
485,6,up.
535,6,choices
606,6,"with,"
1450,6,bothered
3206,6,stupid
605,6,share
1849,6,saying
3469,6,struggling
524,6,encountered
2378,6,"there,"
1456,6,including
1023,6,confused
2848,6,together
1493,6,emotionally
1472,6,dreaded
4630,6,withdrew
2365,6,horrible.
1049,6,thankfully
574,6,know.
2098,6,"nightmares,"
570,6,action
1480,6,disillusionment
2326,6,harassing
520,6,recovered
642,6,drinking
624,6,messed
1857,6,associated
118,6,tears
636,6,network
3235,6,help.
2136,6,careful
3750,6,witnessed
1544,6,moment
1543,6,shaken
505,6,control
1792,6,2
609,6,toll
2520,6,entered
4294,6,"up,"
2523,6,super
2383,6,attractive
983,6,negative.
2122,6,pay
150,6,anymore.
156,6,general.
516,6,productivity
3261,6,series
676,6,actions
2410,6,suffering
3282,6,based
2788,6,negatively
2210,6,"months,"
1242,6,fell
1238,6,chosen
336,6,present
2587,6,doubt.
335,6,child
725,6,younger
1984,6,medical
1711,6,stayed
1207,6,lingering
829,6,obviously
830,6,happy
2734,6,(or
1336,6,severely
1626,6,"was,"
