,id,tag
380,739,"['fear', 'fear', 'lost']"
381,740,['bad']
382,743,"['stressful', 'stressful']"
383,744,"['anxiety', 'depression']"
384,746,['fear']
385,747,"['ptsd', 'ptsd']"
386,748,['worried']
387,750,['therapy']
388,751,['doubted']
389,754,"['therapy', 'therapy']"
390,755,"['depression', 'wary']"
391,756,"['fear', 'fear', 'shame', 'shame']"
392,759,['anxiety']
393,761,['upset']
394,763,['therapy']
395,769,"['abusive', 'lost']"
396,775,['therapy']
397,776,"['anxiety', 'therapy', 'disorder', 'panic', 'shame', 'struggling']"
398,777,['stressful']
399,779,['anxiety']
400,782,['ptsd']
401,784,['vulnerable']
402,787,['lost']
403,788,"['bad', 'blamed']"
404,789,"['depression', 'depression']"
405,790,['suicidal']
406,794,['stressful']
407,795,['angry']
408,796,['ptsd']
409,804,['upset']
410,805,['uncomfortable']
411,809,['lost']
412,811,"['doubted', 'stressful']"
413,812,"['anxiety', 'stressful', 'uncomfortable']"
414,814,['depression']
415,825,"['affected', 'wary']"
416,829,"['depression', 'depression', 'ptsd', 'ptsd']"
417,830,"['anxiety', 'depression']"
418,831,"['anxiety', 'depression']"
419,833,"['doubted', 'guilty']"
420,836,"['anxiety', 'depression']"
421,837,"['fear', 'lost']"
422,838,"['angry', 'fear']"
423,839,['angry']
424,840,['panic']
425,842,"['depression', 'depression', 'unsafe']"
426,848,"['anxiety', 'depression', 'sufferring', 'sufferring']"
427,851,['depression']
428,852,"['angry', 'sad', 'upset']"
429,855,['uncomfortable']
430,861,"['lonely', 'anxiety', 'panic']"
431,865,"['lonely', 'lost', 'stressful', 'therapy', 'therapy']"
432,867,"['angry', 'anxiety']"
433,868,"['ptsd', 'therapy']"
434,869,"['anxiety', 'depression', 'depression', 'disorder', 'disorder', 'ptsd']"
435,870,['anxiety']
436,871,"['lonely', 'bad']"
437,874,['anxiety']
438,877,"['anxiety', 'depression', 'therapy', 'panic']"
439,880,"['abusive', 'affected', 'doubted']"
440,881,"['sufferring', 'sufferring']"
441,882,"['angry', 'fear', 'worried']"
442,883,"['wary', 'worried']"
443,889,['shame']
444,890,"['abusive', 'depression', 'depression', 'ptsd', 'ptsd']"
445,891,"['abusive', 'depression', 'depression', 'ptsd', 'ptsd']"
446,892,['uncomfortable']
447,896,"['anxiety', 'depression', 'panic']"
448,897,['doubted']
449,898,['anxiety']
450,899,"['depression', 'depression']"
451,902,"['anxiety', 'disorder', 'doubted', 'struggling', 'struggling']"
452,903,"['anxiety', 'stressful', 'stressful']"
453,904,['bad']
454,906,['anxiety']
455,907,['anxiety']
456,908,['angry']
457,910,"['lonely', 'vulnerable', 'wary']"
458,912,"['disorder', 'disorder', 'stressful', 'therapy', 'therapy', 'therapy']"
459,913,['guilty']
460,915,"['anxiety', 'anxiety']"
461,916,['anxiety']
462,917,['depression']
463,919,"['angry', 'angry']"
464,921,"['anxiety', 'therapy']"
465,923,['angry']
466,924,"['lonely', 'lost']"
467,925,['stressful']
468,928,['panic']
469,929,"['fear', 'unsafe']"
470,930,['therapy']
471,931,['anxiety']
472,937,"['abusive', 'lost']"
473,942,['stressful']
474,945,"['abusive', 'anxiety', 'depression', 'depression', 'struggling']"
475,946,"['anxiety', 'anxiety', 'depression', 'depression', 'panic', 'ptsd', 'ptsd', 'ptsd']"
476,947,['stressful']
477,948,"['depression', 'suicidal', 'suicidal']"
478,949,"['angry', 'angry', 'anxiety', 'fear', 'guilty', 'panic', 'stressful']"
479,950,['stressful']
480,952,['blamed']
481,955,"['anxiety', 'depression', 'depression']"
482,956,['affected']
483,957,"['anxiety', 'anxiety', 'depression']"
484,959,"['anxiety', 'ptsd', 'ptsd', 'stressful', 'stressful', 'therapy', 'therapy']"
485,960,"['angry', 'depression']"
486,961,"['angry', 'stressful']"
487,964,['therapy']
488,969,"['fear', 'therapy']"
489,971,['worse']
490,973,"['anxiety', 'anxiety']"
